Id,zip,Geography,Estimate; Total,Margin of Error; Total,sameDay,oneHour,twoHour
8600000US72141,72141,ZCTA5 72141,566,206,false,false,false
8600000US72142,72142,ZCTA5 72142,2733,445,false,false,false
8600000US72143,72143,ZCTA5 72143,36293,982,false,false,false
8600000US72149,72149,ZCTA5 72149,0,12,false,false,false
8600000US72150,72150,ZCTA5 72150,11717,434,false,false,false
8600000US72152,72152,ZCTA5 72152,351,182,false,false,false
8600000US72153,72153,ZCTA5 72153,2410,540,false,false,false
8600000US72156,72156,ZCTA5 72156,587,163,false,false,false
8600000US72157,72157,ZCTA5 72157,1191,304,false,false,false
8600000US72160,72160,ZCTA5 72160,10774,373,false,false,false
8600000US72165,72165,ZCTA5 72165,0,12,false,false,false
8600000US72166,72166,ZCTA5 72166,307,133,false,false,false
8600000US72167,72167,ZCTA5 72167,1970,531,false,false,false
8600000US72168,72168,ZCTA5 72168,2283,468,false,false,false
8600000US72169,72169,ZCTA5 72169,161,63,false,false,false
8600000US72170,72170,ZCTA5 72170,164,62,false,false,false
8600000US72173,72173,ZCTA5 72173,9614,746,false,false,false
8600000US72175,72175,ZCTA5 72175,276,110,false,false,false
8600000US72176,72176,ZCTA5 72176,9013,765,false,false,false
8600000US72179,72179,ZCTA5 72179,398,161,false,false,false
8600000US72181,72181,ZCTA5 72181,45,45,false,false,false
8600000US72201,72201,ZCTA5 72201,947,170,false,false,false
8600000US72202,72202,ZCTA5 72202,10704,965,false,false,false
8600000US72204,72204,ZCTA5 72204,31266,1616,false,false,false
8600000US72205,72205,ZCTA5 72205,22278,1075,false,false,false
8600000US72206,72206,ZCTA5 72206,24699,1277,false,false,false
8600000US72207,72207,ZCTA5 72207,10278,750,false,false,false
8600000US72209,72209,ZCTA5 72209,31758,1594,false,false,false
8600000US72210,72210,ZCTA5 72210,14704,1146,false,false,false
8600000US72211,72211,ZCTA5 72211,22015,1251,false,false,false
8600000US72212,72212,ZCTA5 72212,13597,1234,false,false,false
8600000US72223,72223,ZCTA5 72223,20887,1156,false,false,false
8600000US72227,72227,ZCTA5 72227,12538,1018,false,false,false
8600000US72301,72301,ZCTA5 72301,25889,115,false,false,false
8600000US72311,72311,ZCTA5 72311,172,98,false,false,false
8600000US72315,72315,ZCTA5 72315,24120,555,false,false,false
8600000US72320,72320,ZCTA5 72320,1369,145,false,false,false
8600000US72321,72321,ZCTA5 72321,147,72,false,false,false
8600000US72322,72322,ZCTA5 72322,282,149,false,false,false
8600000US72324,72324,ZCTA5 72324,2048,294,false,false,false
8600000US72325,72325,ZCTA5 72325,26,23,false,false,false
8600000US72326,72326,ZCTA5 72326,1925,331,false,false,false
8600000US72327,72327,ZCTA5 72327,1485,271,false,false,false
8600000US72328,72328,ZCTA5 72328,13,15,false,false,false
8600000US72329,72329,ZCTA5 72329,105,87,false,false,false
8600000US72330,72330,ZCTA5 72330,762,138,false,false,false
8600000US72331,72331,ZCTA5 72331,3393,426,false,false,false
8600000US72332,72332,ZCTA5 72332,106,107,false,false,false
8600000US72333,72333,ZCTA5 72333,850,215,false,false,false
8600000US72335,72335,ZCTA5 72335,19580,468,false,false,false
8600000US72338,72338,ZCTA5 72338,15,20,false,false,false
8600000US72339,72339,ZCTA5 72339,143,75,false,false,false
8600000US72340,72340,ZCTA5 72340,58,51,false,false,false
8600000US72341,72341,ZCTA5 72341,307,116,false,false,false
8600000US72342,72342,ZCTA5 72342,5356,470,false,false,false
8600000US72346,72346,ZCTA5 72346,685,188,false,false,false
8600000US72347,72347,ZCTA5 72347,689,160,false,false,false
8600000US72348,72348,ZCTA5 72348,2880,437,false,false,false
8600000US72350,72350,ZCTA5 72350,1296,277,false,false,false
8600000US72351,72351,ZCTA5 72351,655,158,false,false,false
8600000US72353,72353,ZCTA5 72353,102,87,false,false,false
8600000US72354,72354,ZCTA5 72354,2373,410,false,false,false
8600000US72355,72355,ZCTA5 72355,2526,417,false,false,false
8600000US72358,72358,ZCTA5 72358,1396,218,false,false,false
8600000US72359,72359,ZCTA5 72359,495,190,false,false,false
8600000US72360,72360,ZCTA5 72360,6261,282,false,false,false
8600000US72364,72364,ZCTA5 72364,16185,400,false,false,false
8600000US72365,72365,ZCTA5 72365,2902,167,false,false,false
8600000US72366,72366,ZCTA5 72366,2424,448,false,false,false
8600000US72367,72367,ZCTA5 72367,116,80,false,false,false
8600000US72368,72368,ZCTA5 72368,1346,284,false,false,false
8600000US72370,72370,ZCTA5 72370,8505,216,false,false,false
8600000US72372,72372,ZCTA5 72372,2285,333,false,false,false
8600000US72373,72373,ZCTA5 72373,1585,206,false,false,false
8600000US72374,72374,ZCTA5 72374,935,313,false,false,false
8600000US72376,72376,ZCTA5 72376,1608,337,false,false,false
8600000US72377,72377,ZCTA5 72377,18,25,false,false,false
8600000US72379,72379,ZCTA5 72379,61,37,false,false,false
8600000US72383,72383,ZCTA5 72383,0,12,false,false,false
8600000US72384,72384,ZCTA5 72384,837,174,false,false,false
8600000US72386,72386,ZCTA5 72386,1702,276,false,false,false
8600000US72389,72389,ZCTA5 72389,249,99,false,false,false
8600000US72390,72390,ZCTA5 72390,8575,440,false,false,false
8600000US72392,72392,ZCTA5 72392,393,100,false,false,false
8600000US72394,72394,ZCTA5 72394,774,232,false,false,false
8600000US72395,72395,ZCTA5 72395,957,208,false,false,false
8600000US72396,72396,ZCTA5 72396,13312,393,false,false,false
8600000US72401,72401,ZCTA5 72401,55197,1290,false,false,false
8600000US72404,72404,ZCTA5 72404,23665,1043,false,false,false
8600000US72410,72410,ZCTA5 72410,544,186,false,false,false
8600000US72411,72411,ZCTA5 72411,2297,260,false,false,false
8600000US72412,72412,ZCTA5 72412,581,181,false,false,false
8600000US72413,72413,ZCTA5 72413,658,197,false,false,false
8600000US72414,72414,ZCTA5 72414,360,125,false,false,false
8600000US72415,72415,ZCTA5 72415,1312,286,false,false,false
8600000US72416,72416,ZCTA5 72416,7000,685,false,false,false
8600000US72417,72417,ZCTA5 72417,3904,513,false,false,false
8600000US72419,72419,ZCTA5 72419,1622,223,false,false,false
8600000US72421,72421,ZCTA5 72421,322,91,false,false,false
8600000US72422,72422,ZCTA5 72422,4974,254,false,false,false
8600000US72424,72424,ZCTA5 72424,67,34,false,false,false
8600000US72425,72425,ZCTA5 72425,373,182,false,false,false
8600000US72426,72426,ZCTA5 72426,218,71,false,false,false
8600000US72427,72427,ZCTA5 72427,193,107,false,false,false
8600000US72428,72428,ZCTA5 72428,61,40,false,false,false
8600000US72429,72429,ZCTA5 72429,370,107,false,false,false
8600000US72430,72430,ZCTA5 72430,369,98,false,false,false
8600000US72431,72431,ZCTA5 72431,464,131,false,false,false
8600000US72432,72432,ZCTA5 72432,6560,409,false,false,false
8600000US72433,72433,ZCTA5 72433,3168,317,false,false,false
8600000US72434,72434,ZCTA5 72434,1857,398,false,false,false
8600000US72435,72435,ZCTA5 72435,530,143,false,false,false
8600000US72436,72436,ZCTA5 72436,893,260,false,false,false
8600000US72437,72437,ZCTA5 72437,3007,363,false,false,false
8600000US72438,72438,ZCTA5 72438,2587,349,false,false,false
8600000US72440,72440,ZCTA5 72440,226,82,false,false,false
8600000US72441,72441,ZCTA5 72441,85,49,false,false,false
8600000US72442,72442,ZCTA5 72442,4652,383,false,false,false
8600000US72443,72443,ZCTA5 72443,3325,386,false,false,false
8600000US72444,72444,ZCTA5 72444,1426,264,false,false,false
8600000US72445,72445,ZCTA5 72445,65,40,false,false,false
8600000US72447,72447,ZCTA5 72447,1937,248,false,false,false
