id,season,age,g,av
ArmsRa20,1960,23,14,4
ArmsTe00,2013,22,6,1
ArmsTr00,1989,24,15,6
ArmsTy00,1992,22,15,1
ArndAl20,1935,24,7,
ArndDi20,1967,23,14,3
ArneJi20,1973,22,12,4
ArneJo00,*,22,12,
ArneMa20,1972,23,14,5
ArnfBr00,2013,24,2,0
ArnoDa20,1989,23,15,1
ArnoJa00,1996,23,9,1
ArnoJa20,1937,25,10,
ArnoJi20,1983,22,16,2
ArnoJo20,1979,24,7,0
ArnoLe20,1974,22,2,3
ArnoSt99,2010,24,9,1
ArnoWa00,1980,22,16,1
AromDe00,2007,23,6,1
AronDo20,1987,23,2,0
ArpxJo20,1987,22,2,1
ArriAd00,2010,25,1,1
ArriJ.00,2005,22,15,3
ArriKy00,2009,23,9,1
ArriLa00,2000,22,16,7
ArriRi00,1970,23,6,2
ArroCh20,1966,22,11,3
ArteEl20,1954,25,1,
ArthGa00,1970,22,7,0
ArthMi20,1991,23,7,2
ArtiCa00,2015,25,7,2
ArtmCo20,1931,24,12,
ArtmRo20,1999,25,5,0
ArtoLe20,*,23,11,
ArviHe20,1993,23,16,1
AsadDo00,1960,22,13,2
AsamJo20,2010,22,15,2
AsanLa99,2010,22,2,0
AsbuWi00,1966,23,14,8
AschDa20,1959,24,11,
AschFr20,1949,24,6,
AshbBi20,1924,25,1,
AshbCl20,1929,24,13,
AsheBo20,1970,22,6,4
AsheJa00,1995,23,7,1
AsheRi20,1990,23,1,0
AshlWa20,1983,23,15,1
AshmDa20,1993,24,9,3
AshmRo20,1926,27,9,
AshtJo00,1972,23,14,5
AshwTo20,2002,25,1,0
AshxJu20,1926,26,2,
AshxRi00,2015,23,1,0
AsiaJo20,2010,25,2,0
AsiaMa00,2012,25,16,0
AsioK.00,2009,23,10,1
AskaJo00,1995,23,1,0
AskeB.00,2003,23,16,0
AskeMa20,2004,22,5,0
AskeMi20,1973,22,4,3
AsksBe20,1971,26,11,3
AsmuJi20,1987,29,3,0
AsomNn20,2003,22,15,1
AspaEd20,1934,25,6,
AspeMa00,2012,27,1,0
AsplLe20,1925,24,1,
AtchBu20,1922,,1,
AtchJa00,1960,24,3,0
AtchTi00,2011,24,1,0
AtesBi20,1971,22,5,2
AthaPe20,1971,25,13,3
AtkeDa00,1954,24,10,
AtkiAl00,1965,22,14,2
AtkiBa99,2007,23,12,1
AtkiBi00,1958,24,12,
AtkiBo20,1968,22,14,6
AtkiBu00,*,21,14,9
AtkiCo20,2000,24,12,1
AtkiDa00,1973,24,5,0
AtkiDo00,1953,23,8,
AtkiFr20,1963,22,14,6
AtkiGe01,2014,22,5,0
AtkiGe20,1987,23,13,3
AtkiGe21,1955,23,12,
AtkiGe99,2010,22,16,2
AtkiJa20,1994,24,4,1
AtkiJa21,2003,25,13,3
AtkiKe20,1983,23,13,1
AtkiLa20,1999,24,9,0
atkinjes01,1985,24,8,0
AtkiPe00,1961,26,14,1
AtkiRi20,1987,22,1,0
AtkiSt00,1979,23,7,2
AtogO.20,2005,24,12,1
AttaJe00,2014,21,11,1
AttaRe20,1922,28,8,
AttyAl20,1939,23,3,
AtwaSt00,1989,23,16,9
AtwoJo20,1948,25,8,
AubrJo00,2013,22,6,0
AudeEa20,1945,24,10,
AudiDa20,1977,23,2,2
AuerHo20,1933,25,2,
AuerJi20,1987,25,1,0
AuerJo00,1964,23,12,3
AuerSc20,1984,23,16,1
AuerTo20,1987,22,3,1
AughDo20,1984,23,7,1
AuguGe20,1935,21,1,
AuguMi00,1981,25,10,3
AuguSk20,1931,27,7,
AuguSt20,1977,23,6,4
AultCh20,1924,24,2,
AupiDa20,1987,26,1,0
AusbDa00,2011,24,12,0
AustBi00,1949,21,9,
AustBi20,1998,23,1,0
AustCl00,1983,23,11,0
AustDa20,1975,24,12,3
AustEr20,1996,23,2,0
AustHi20,1973,23,9,3
AustJi20,1937,24,7,
AustKe20,1986,23,16,0
AustMa00,2012,23,8,1
AustMi00,2006,22,9,0
AustOc20,1968,21,14,4
AustRa20,1997,23,16,1
AustRe20,2001,24,9,1
AustRo00,2012,24,,0
AustTa00,2013,22,13,6
AustTe00,2010,22,5,0
AustTh00,2011,25,3,0
AutrBi20,1953,20,7,
AutrDa00,1997,21,13,2
AutrDe00,2014,24,10,1
AutrHa20,1969,22,14,3
AuzeTr20,1992,23,16,8
AvanJa00,2006,23,8,1
AvedCh20,1942,25,10,
AvelBo00,1975,22,8,3
AvenJo20,1959,24,12,
AverDo00,2008,24,15,5
AverDo20,1946,25,11,
AverJi20,1966,22,1,0
AverJo00,1998,22,16,4
AverKe20,1967,23,13,4
AverSi20,1950,25,12,
AverSt00,1989,23,1,0
AvezJo20,1966,23,3,2
AvinBu00,1953,25,12,
AvriCl99,2008,22,15,2
AwalRo00,1987,23,12,5
AwasAd20,2005,22,5,0
AyanBr99,2003,27,16,1
AyanOb00,1998,23,1,0
AydeBu20,1980,24,9,1
AyerAk00,2011,22,16,8
AyerDe00,2016,22,2,0
AyerJo20,1977,24,14,2
AyerMa20,1987,24,2,0
AyerRo99,2009,24,15,2
AyixKo20,2001,23,7,1
AyodAk20,2002,23,16,3
AyodRe99,2007,24,7,1
AzelJo20,1984,22,14,1
AzumJe00,1999,22,16,0
BaabMi20,1982,23,7,1
BaacSt20,1984,24,16,1
BaasDa20,2005,24,13,2
BabaAl20,1938,23,6,
BabbCh20,1972,22,14,4
BabbGe20,1957,23,12,
BabcHa00,1953,23,10,
BabcSa20,1926,26,8,
BabeBi00,2001,22,1,0
BabeRo20,2003,23,5,0
BabiBo20,1970,23,14,6
BabiJa20,2004,24,16,8
BabiJo20,2005,24,16,4
BabiJo21,2004,22,6,0
BabiJo22,1972,22,14,4
BacaJe00,2013,23,4,0
BaccCa20,1927,23,10,
BaccMa20,1968,24,12,4
BachJa20,1968,23,6,2
BachJo20,1920,25,9,
BachRi20,1928,27,1,
BachTe20,1976,24,13,3
BackJe20,2001,24,16,7
BackKe00,2015,22,7,0
Backxx20,1921,,1,
BacoCo00,1968,26,7,3
BacoFr20,1920,26,9,
BacoWa20,2004,25,11,1
BadaJo20,1946,24,11,
BadaRi00,1986,24,6,0
BadaRi20,1967,24,1,0
BadeJo00,2012,22,16,1
BadgBr20,1997,22,12,1
BadgRe20,1927,25,12,
BagaSt20,+,26,10,
BagbHe20,1926,23,8,
BagdEd20,1950,24,11,
BaggBi00,1952,23,11,
BahaCu20,1987,24,3,0
BahaPe20,1923,25,9,
BahnKe00,1953,23,7,
bahrxchr01,1976,23,14,3
bahrxmat01,1979,23,16,4
BailAa00,1994,23,13,0
BailAl00,2011,22,16,0
BailAl01,2013,22,14,1
BailBi20,1940,24,10,
BailBo20,2003,24,16,8
BailBy00,1952,22,8,
BailCa20,1988,24,6,0
BailCh00,1999,21,16,8
BailCl20,1987,24,3,0
BailDa00,2011,23,16,4
BailDa20,1990,25,13,1
BailDi00,2015,23,7,1
BailDo20,1984,23,10,1
BailEd20,1981,22,16,8
BailEl20,1980,23,14,1
BailEr20,1987,24,3,1
BailHa00,1981,24,11,0
BailHe00,1996,23,8,0
BailHo20,1935,22,1,
BailJi20,1949,22,7,
BailJi21,1970,22,10,4
BailJo00,1990,23,16,2
BailKa00,1999,22,2,0
BailLa20,1974,22,1,2
BailMa00,1977,23,14,4
BailMo20,1964,26,12,2
BailPa99,2008,23,12,1
BailRo20,1991,23,6,0
BailRo21,2001,22,16,2
BailRu20,1920,23,11,
BailSt00,1982,22,5,0
BailSt01,2013,23,16,2
BailTe20,1967,23,1,0
BailTh20,1995,24,1,0
BailTo00,1971,22,13,1
BailVi00,1993,23,16,5
BainBi20,1975,23,14,3
BairBi20,1963,24,14,6
BairBr00,2012,28,,0
BaisAl20,*,23,7,
BajeBi00,2005,23,15,0
BakeAl00,*+,22,16,10
BakeAr00,1961,24,14,4
BakeBu20,1927,27,14,
BakeCh00,2002,23,12,0
BakeCh01,2012,24,,0
BakeCh20,1980,23,16,2
BakeCh99,2009,22,1,0
BakeCo20,1936,25,9,
BakeDa00,*,22,12,
BakeDa01,2008,26,8,0
BakeEd00,1972,24,1,0
BakeEd01,2012,21,,0
BakeEu00,1999,23,3,1
BakeFr20,1931,22,2,
BakeJa20,2001,23,16,2
BakeJe20,1983,23,5,0
BakeJe21,1979,22,16,2
