zip,value
90005,25
90006,30
90007,30
90008,26
90010,25
90012,30
90013,30
90014,30
90015,30
90016,26
90017,30
90018,26
90019,25
90020,25
90021,30
90024,26
90025,26
90026,30
90027,60
90028,25
90029,25
90031,60
90034,26
90035,25
90036,25
90037,30
90038,25
90039,60
90041,60
90042,60
90043,26
90045,22
90046,25
90048,25
90049,22
90056,26
90057,30
90064,26
90065,60
90066,22
90067,26
90068,25
90069,25
90071,30
90077,26
90079,30
90089,30
90094,22
90095,26
90210,25
90211,25
90212,25
90230,26
90232,26
90245,75
90250,75
90254,75
90260,75
90261,75
90266,75
90272,22
90277,75
90278,75
90291,22
90292,22
90293,22
90294,22
90401,22
90402,22
90403,22
90404,22
90405,22
90503,75
90505,75
91001,61
91011,61
91030,61
91101,61
91103,61
91104,61
91105,61
91106,61
91107,61
91108,61
91125,61
91201,60
91202,60
91203,60
91204,60
91205,60
91206,60
91207,60
91210,60
91316,41
91335,41
91356,41
91401,41
91403,41
91405,41
91406,41
91411,41
91423,41
91436,41
91502,41
91505,41
91506,41
91601,41
91602,41
91604,41
91606,41
91607,41
94002,15
94010,15
94022,2
94024,2
94025,39
94027,39
94028,39
94030,15
94035,2
94039,2
94040,2
94041,2
94042,2
94043,2
94061,39
94062,39
94063,39
94065,15
94066,15
94070,15
94080,15
94085,2
94086,2
94087,2
94089,2
94101,1
94102,1
94103,1
94104,1
94105,1
94106,1
94107,1
94108,1
94109,1
94110,1
94111,1
94112,1
94114,1
94115,1
94116,1
94117,1
94118,1
94119,1
94120,1
94121,1
94122,1
94123,1
94124,1
94125,1
94126,1
94127,1
94129,1
94131,1
94132,1
94133,1
94134,1
94135,1
94136,1
94137,1
94138,1
94139,1
94140,1
94141,1
94142,1
94143,1
94144,1
94145,1
94146,1
94147,1
94150,1
94151,1
94152,1
94153,1
94154,1
94155,1
94156,1
94157,1
94158,1
94159,1
94160,1
94161,1
94162,1
94163,1
94164,1
94165,1
94166,1
94167,1
94168,1
94169,1
94170,1
94171,1
94172,1
94175,1
94177,1
94188,1
94301,39
94302,39
94303,39
94304,39
94305,39
94306,39
94307,39
94308,39
94309,39
94310,39
94401,15
94402,15
94403,15
94404,15
94501,9
94502,9
94530,9
94577,9
94601,9
94602,9
94603,9
94605,9
94606,9
94607,9
94608,9
94609,9
94610,9
94611,9
94612,9
94613,9
94618,9
94619,9
94621,9
94702,9
94703,9
94704,9
94705,9
94706,9
94707,9
94708,9
94709,9
94710,9
94720,9
95002,24
95008,24
95014,2
95030,24
95032,24
95050,2
95051,2
95052,2
95053,2
95054,2
95055,2
95056,2
95070,24
95110,24
95112,24
95113,24
95117,24
95118,24
95120,24
95123,24
95124,24
95125,24
95126,24
95128,24
95129,24
95130,24
95131,24
95132,24
95134,24
95136,24
97003,104
97005,104
97006,104
97008,104
97034,104
97035,104
97062,104
97068,104
97124,104
97201,103
97202,103
97203,103
97204,103
97205,103
97206,103
97209,103
97210,103
97211,103
97212,103
97213,103
97214,103
97215,103
97216,103
97217,103
97218,103
97219,104
97220,103
97221,104
97222,103
97223,104
97224,104
97225,104
97227,103
97229,104
97230,103
97232,103
97239,103
97258,103
97266,103
98004,38
98005,38
98006,38
98007,38
98008,38
98033,38
98034,38
98036,33
98037,33
98039,38
98040,38
98043,33
98052,38
98101,33
98102,33
98103,33
98104,33
98105,33
98106,33
98107,33
98108,33
98109,33
98112,33
98115,33
98116,33
98117,33
98118,33
98119,33
98121,33
98122,33
98125,33
98126,33
98133,33
98134,33
98136,33
98144,33
98154,33
98155,33
98164,33
98177,33
98195,33
98199,33
02108,13
02109,13
02110,13
02111,13
02112,13
02113,13
02114,13
02115,13
02116,13
02118,13
02119,13
02120,13
02121,13
02122,13
02125,13
02127,13
02129,13
02130,13
02131,13
02134,13
02135,13
02138,13
02139,13
02140,13
02141,13
02142,13
02143,13
02144,13
02145,13
02155,13
02163,13
02199,13
02201,13
02203,13
02210,13
02215,13
02445,13
02446,13
02451,23
02452,23
02453,23
02456,23
02457,23
02458,23
02459,23
02460,23
02461,23
02462,23
02464,23
02465,23
02466,23
02467,23
02468,23
02472,23
02474,13
02476,13
02478,13
02481,23
02482,23
02492,23
02494,23
06901,55
06902,55
06903,55
06904,55
06905,55
06906,55
06907,55
06910,55
06911,55
06912,55
06913,55
06914,55
06920,55
06921,55
06922,55
06925,55
06926,55
06927,55
06928,55
