name,url
Marietta Pioneers,/cbb/schools/marietta/
Marist Red Foxes,/cbb/schools/marist/
Marquette Golden Eagles,/cbb/schools/marquette/
Marshall Thundering Herd,/cbb/schools/marshall/
Maryland Terrapins,/cbb/schools/maryland/
Maryland-Baltimore County Retrievers,/cbb/schools/maryland-baltimore-county/
Maryland-Eastern Shore Hawks,/cbb/schools/maryland-eastern-shore/
Massachusetts Institute of Technology Engineers,/cbb/schools/massachusetts-institute-of-technology/
Massachusetts Minutemen,/cbb/schools/massachusetts/
Massachusetts-Lowell River Hawks,/cbb/schools/massachusetts-lowell/
McNeese State Cowboys,/cbb/schools/mcneese-state/
Memphis Tigers,/cbb/schools/memphis/
Mercer Bears,/cbb/schools/mercer/
Merchant Marine Academy Mariners,/cbb/schools/merchant-marine-academy/
Miami (FL) Hurricanes,/cbb/schools/miami-fl/
Miami (OH) RedHawks,/cbb/schools/miami-oh/
Michigan State Spartans,/cbb/schools/michigan-state/
Michigan Wolverines,/cbb/schools/michigan/
Middle Tennessee Blue Raiders,/cbb/schools/middle-tennessee/
Millikin Big Blue,/cbb/schools/millikin/
Millsaps Majors,/cbb/schools/millsaps/
Milwaukee Panthers,/cbb/schools/milwaukee/
Minnesota A&M Aggies,/cbb/schools/minnesota-am/
Minnesota Golden Gophers,/cbb/schools/minnesota/
Mississippi Rebels,/cbb/schools/mississippi/
Mississippi State Bulldogs,/cbb/schools/mississippi-state/
Mississippi Valley State Delta Devils,/cbb/schools/mississippi-valley-state/
Missouri State Bears,/cbb/schools/missouri-state/
Missouri Tigers,/cbb/schools/missouri/
Missouri-Kansas City Kangaroos,/cbb/schools/missouri-kansas-city/
Monmouth Hawks,/cbb/schools/monmouth/
Montana Grizzlies,/cbb/schools/montana/
Montana State Bobcats,/cbb/schools/montana-state/
Morehead State Eagles,/cbb/schools/morehead-state/
Morgan State Bears,/cbb/schools/morgan-state/
Morris Brown Wolverines,/cbb/schools/morris-brown/
Mount St. Mary's Mountaineers,/cbb/schools/mount-st-marys/
Mount Union Purple Raiders,/cbb/schools/mount-union/
Muhlenburg Mules,/cbb/schools/muhlenburg/
Murray State Breds,/cbb/schools/murray-state/
Muskingum Fighting Muskies,/cbb/schools/muskingum/
Navy Midshipmen,/cbb/schools/navy/
Nebraska Cornhuskers,/cbb/schools/nebraska/
Nebraska Wesleyan Prairie Wolves,/cbb/schools/nebraska-wesleyan/
Nebraska-Omaha Mavericks,/cbb/schools/nebraska-omaha/
Nevada Wolf Pack,/cbb/schools/nevada/
Nevada-Las Vegas Rebels,/cbb/schools/nevada-las-vegas/
New Hampshire Wildcats,/cbb/schools/new-hampshire/
New Mexico Lobos,/cbb/schools/new-mexico/
New Mexico State Aggies,/cbb/schools/new-mexico-state/
New Orleans Privateers,/cbb/schools/new-orleans/
New York University Violets,/cbb/schools/new-york-university/
Newberry Wolves,/cbb/schools/newberry/
Niagara Purple Eagles,/cbb/schools/niagara/
Nicholls State Colonels,/cbb/schools/nicholls-state/
NJIT Highlanders,/cbb/schools/njit/
Norfolk State Spartans,/cbb/schools/norfolk-state/
North Carolina A&T Aggies,/cbb/schools/north-carolina-at/
North Carolina Central Eagles,/cbb/schools/north-carolina-central/
North Carolina State Wolfpack,/cbb/schools/north-carolina-state/
North Carolina Tar Heels,/cbb/schools/north-carolina/
North Carolina-Asheville Bulldogs,/cbb/schools/north-carolina-asheville/
North Carolina-Greensboro Spartans,/cbb/schools/north-carolina-greensboro/
North Carolina-Wilmington Seahawks,/cbb/schools/north-carolina-wilmington/
North Central Cardinals,/cbb/schools/north-central/
North Dakota State Bison,/cbb/schools/north-dakota-state/
North Dakota UND,/cbb/schools/north-dakota/
North Florida Ospreys,/cbb/schools/north-florida/
North Texas Mean Green,/cbb/schools/north-texas/
Northeastern Huskies,/cbb/schools/northeastern/
Northeastern Illinois Golden Eagles,/cbb/schools/northeastern-illinois/
Northern Arizona Lumberjacks,/cbb/schools/northern-arizona/
Northern Colorado Bears,/cbb/schools/northern-colorado/
Northern Illinois Huskies,/cbb/schools/northern-illinois/
Northern Iowa Panthers,/cbb/schools/northern-iowa/
Northern Kentucky Norse,/cbb/schools/northern-kentucky/
Northest Missouri State Bearcats,/cbb/schools/northest-missouri-state/
Northwestern State Demons,/cbb/schools/northwestern-state/
Northwestern Wildcats,/cbb/schools/northwestern/
Notre Dame Fighting Irish,/cbb/schools/notre-dame/
Oakland Golden Grizzlies,/cbb/schools/oakland/
Oberlin Yeomen,/cbb/schools/oberlin/
Ohio Bobcats,/cbb/schools/ohio/
Ohio State Buckeyes,/cbb/schools/ohio-state/
Ohio Wesleyan Battling Bishops,/cbb/schools/ohio-wesleyan/
Oklahoma City Chiefs,/cbb/schools/oklahoma-city/
Oklahoma Sooners,/cbb/schools/oklahoma/
Oklahoma State Cowboys,/cbb/schools/oklahoma-state/
Old Dominion Monarchs,/cbb/schools/old-dominion/
Oral Roberts Golden Eagles,/cbb/schools/oral-roberts/
Oregon Ducks,/cbb/schools/oregon/
Oregon State Beavers,/cbb/schools/oregon-state/
Pacific Tigers,/cbb/schools/pacific/
Penn State Nittany Lions,/cbb/schools/penn-state/
Pennsylvania Quakers,/cbb/schools/pennsylvania/
Pepperdine Waves,/cbb/schools/pepperdine/
Phillips Haymakers,/cbb/schools/phillips/
Pittsburg State Gorillas,/cbb/schools/pittsburg-state/
Pittsburgh Panthers,/cbb/schools/pittsburgh/
Portland Pilots,/cbb/schools/portland/
Portland State Vikings,/cbb/schools/portland-state/
Prairie View Panthers,/cbb/schools/prairie-view/
Pratt Institute Cannoneers,/cbb/schools/pratt-institute/
Presbyterian Blue Hose,/cbb/schools/presbyterian/
Princeton Tigers,/cbb/schools/princeton/
Providence Friars,/cbb/schools/providence/
Purdue Boilermakers,/cbb/schools/purdue/
Quinnipiac Bobcats,/cbb/schools/quinnipiac/
Radford Highlanders,/cbb/schools/radford/
Regis (CO) Rangers,/cbb/schools/regis-co/
Rensselaer Engineers,/cbb/schools/rensselaer/
Rhode Island Rams,/cbb/schools/rhode-island/
Rice Owls,/cbb/schools/rice/
Richmond Spiders,/cbb/schools/richmond/
Rider Broncs,/cbb/schools/rider/
Ripon Red Hawks,/cbb/schools/ripon/
Roanoke Maroons,/cbb/schools/roanoke/
Robert Morris Colonials,/cbb/schools/robert-morris/
Rochester (NY) Yellowjackets,/cbb/schools/rochester-ny/
Rose-Hulman Fightin' Engineers,/cbb/schools/rose-hulman/
Rutgers Scarlet Knights,/cbb/schools/rutgers/
