id,season,age,ps
antossh01,1995,25,-1.4
antossh01,1996,26,-0.4
antossh01,1996,26,-0.4
antossh01,1996,26,0.0
antossh01,1997,27,0.0
antroni01,1999,19,3.4
antroni01,2000,20,1.6
antroni01,2001,21,0.1
antroni01,2002,22,5.0
antroni01,2003,23,3.4
antroni01,2005,25,3.1
antroni01,2006,26,3.7
antroni01,2007,27,6.5
antroni01,2008,28,5.9
antroni01,2008,28,4.3
antroni01,2008,28,1.6
antroni01,2009,29,7.6
antroni01,2010,30,3.5
antroni01,2011,31,3.5
antroni01,2012,32,1.8
appssy01,1936,22,6.1
appssy01,1937,23,6.6
appssy01,1938,24,4.8
appssy01,1939,25,4.2
appssy01,1940,26,6.0
appssy01,1941,27,4.3
appssy01,1942,28,4.0
appssy01,1945,31,4.6
appssy01,1946,32,5.5
appssy01,1947,33,6.3
appssy02,1970,23,1.8
appssy02,1970,23,-0.5
appssy02,1970,23,2.3
appssy02,1971,24,5.3
appssy02,1972,25,8.1
appssy02,1973,26,8.0
appssy02,1974,27,5.9
appssy02,1975,28,8.2
appssy02,1976,29,4.9
appssy02,1977,30,3.6
appssy02,1977,30,0.3
appssy02,1977,30,3.2
appssy02,1978,31,0.6
appssy02,1979,32,0.1
arboual01,1953,21,2.3
arboual01,1956,24,3.3
arboual01,1957,25,3.1
arboual01,1958,26,3.8
arboual01,1959,27,3.5
arboual01,1960,28,3.6
arboual01,1961,29,3.5
arboual01,1962,30,0.4
arboual01,1963,31,0.4
arboual01,1965,33,0.3
arboual01,1967,35,4.6
arboual01,1968,36,5.3
arboual01,1969,37,3.7
arboual01,1970,38,1.5
arbouam01,1918,24,-0.1
arbouam01,1919,25,2.9
arbouam01,1920,26,2.1
arbouam01,1921,27,1.0
arbouam01,1922,28,0.1
arbouam01,1923,29,-0.5
arbouja01,1926,27,2.7
arbouja01,1928,29,1.0
arboujo01,1965,20,0.0
arboujo01,1967,22,0.2
arboujo01,1968,23,0.1
arboujo01,1970,25,2.9
arboujo01,1970,25,0.0
arboujo01,1970,25,2.9
arboujo01,1971,26,0.3
arboujo01,1972,27,
arboujo01,1973,28,
arboujo01,1974,29,
arboujo01,1975,30,
arboujo01,1975,30,
arboujo01,1975,30,
arboujo01,1976,31,
arboujo01,1976,31,
arboujo01,1976,31,
arbouty01,1926,30,2.5
arbouty01,1927,31,0.5
arbouty01,1927,31,-0.3
arbouty01,1927,31,0.8
arbouty01,1928,32,0.0
arbouty01,1929,33,1.8
arbouty01,1930,34,-0.2
archami01,1972,22,
archami01,1976,26,-0.2
archida01,1987,18,1.1
archida01,1988,19,1.5
archida01,1989,20,0.4
archida01,1989,20,0.3
archida01,1989,20,0.1
archida01,1992,23,0.5
archida01,1993,24,1.4
archida01,1994,25,0.0
archida01,1995,26,0.0
archida01,1996,27,-0.3
archida02,2013,23,0.3
archiji01,1984,23,0.2
archiji01,1985,24,-0.4
archiji01,1986,25,-0.1
archijo01,2015,23,0.0
arcobma01,2012,24,0.0
arcobma01,2013,25,1.2
arcobma01,2014,26,3.3
arcobma01,2014,26,1.0
arcobma01,2014,26,0.2
arcobma01,2014,26,0.1
arcobma01,2014,26,2.0
arcobma01,2015,27,0.4
areshro01,1979,22,-0.2
arkhide01,2000,21,1.4
arkhide01,2001,22,4.0
arkhide01,2002,23,2.6
arkhide01,2003,24,1.6
arkhide01,2006,27,1.2
armiajo01,2014,21,0.0
armiajo01,2015,22,0.8
armiajo01,2016,23,0.0
armstbi01,1990,24,0.1
armstbo01,1950,19,0.1
armstbo01,1952,21,3.3
armstbo01,1953,22,3.5
armstbo01,1954,23,2.2
armstbo01,1955,24,3.7
armstbo01,1956,25,4.7
armstbo01,1957,26,2.5
armstbo01,1958,27,3.1
armstbo01,1959,28,3.9
armstbo01,1960,29,1.9
armstbo01,1961,30,0.4
armstch01,2000,25,-0.1
armstch01,2003,28,0.1
armstco01,2005,23,4.3
armstco01,2006,24,2.2
armstco01,2007,25,3.2
armstco01,2007,25,2.2
armstco01,2007,25,1.0
armstco01,2008,26,4.3
armstco01,2009,27,2.7
armstco01,2010,28,1.9
armstco01,2011,29,-0.4
armstco01,2012,30,0.0
armstde01,1993,20,0.0
armstde01,1995,22,-0.2
armstde01,1996,23,0.3
armstde01,1997,24,0.3
armstde01,1998,25,0.0
armstde01,1999,26,0.0
armstde01,2000,27,-0.1
armstde01,2002,29,3.9
armstde01,2003,30,3.9
armstde01,2005,32,3.4
armstde01,2006,33,4.3
armstde01,2007,34,3.0
armstde01,2008,35,0.4
armstde01,2009,36,-0.2
armstge01,1949,19,-0.1
armstge01,1951,21,0.4
armstge01,1952,22,2.9
armstge01,1953,23,4.4
armstge01,1954,24,2.7
armstge01,1955,25,5.0
armstge01,1956,26,4.8
armstge01,1957,27,3.9
armstge01,1958,28,3.6
armstge01,1959,29,4.9
armstge01,1960,30,3.1
armstge01,1961,31,5.0
armstge01,1962,32,3.9
armstge01,1963,33,3.9
armstge01,1964,34,3.3
armstge01,1965,35,4.1
armstge01,1966,36,1.7
armstge01,1967,37,3.0
armstge01,1968,38,1.5
armstge01,1969,39,2.6
armstge01,1970,40,1.4
armstmu01,1937,22,-0.3
armstmu01,1938,23,0.0
armstmu01,1939,24,4.1
armstmu01,1940,25,1.3
armstmu01,1941,26,1.3
armstmu01,1943,28,2.5
armstmu01,1944,29,3.1
armstmu01,1945,30,1.9
armstno01,1962,24,0.7
armstri01,2008,24,-0.1
armstti01,1988,21,-0.2
arnasch01,1971,20,0.0
arnasch01,1972,21,-0.5
arnasch01,1973,22,2.4
arnasch01,1973,22,0.9
arnasch01,1973,22,1.5
arnasch01,1974,23,4.1
arnasch01,1975,24,1.3
arnasch01,1975,24,0.2
arnasch01,1975,24,1.1
arnasch01,1976,25,0.8
arnasch01,1977,26,4.0
arnasch01,1977,26,0.5
arnasch01,1977,26,3.5
arnasch01,1978,27,-0.3
arnasch01,1978,27,0.0
arnasch01,1978,27,-0.2
arnasty01,2001,22,0.3
arnasty01,2002,23,4.4
arnasty01,2003,24,5.9
arnasty01,2005,26,3.7
arnasty01,2005,26,3.9
arnasty01,2005,26,-0.2
arnasty01,2006,27,4.1
arnasty01,2007,28,2.4
arnasty01,2008,29,0.8
arnieja01,2010,21,-0.1
arniesc01,1981,19,0.3
arniesc01,1982,20,-0.1
arniesc01,1983,21,2.9
arniesc01,1984,22,2.5
arniesc01,1985,23,2.0
arniesc01,1986,24,1.0
arniesc01,1987,25,2.5
arniesc01,1988,26,2.5
arniesc01,1989,27,1.9
arniesc01,1990,28,0.1
arniesc01,1991,29,0.5
arnolbi01,2013,21,-0.1
arnotja01,1993,19,6.5
arnotja01,1994,20,3.2
arnotja01,1995,21,5.7
arnotja01,1996,22,4.8
arnotja01,1997,23,1.9
arnotja01,1997,23,1.0
arnotja01,1997,23,0.9
arnotja01,1998,24,6.7
arnotja01,1999,25,6.6
arnotja01,2000,26,6.9
arnotja01,2001,27,5.7
arnotja01,2001,27,5.3
arnotja01,2001,27,0.4
arnotja01,2002,28,5.9
arnotja01,2003,29,7.8
arnotja01,2005,31,8.6
arnotja01,2006,32,6.5
