ID,Posted at,Screen name,Text
785295524710809600,2016-10-10 01:46:57 +0000,nytgraphics,It takes two years for Syrian refugees to enter the U.S. https://t.co/KFWTkFNEUx
785272328972304384,2016-10-10 00:14:47 +0000,nytgraphics,"51 GOP leaders said they will not vote for Trump, have withdrawn support or called for him to step down since Frida… https://t.co/nDuIQkZ1xI"
784949997162864640,2016-10-09 02:53:57 +0000,nytgraphics,"158 GOP leaders have said they won't vote for Trump, have withdrawn endorsements, or have called on him to step dow… https://t.co/EyzGdUSMMJ"
784948475939160064,2016-10-09 02:47:54 +0000,nytgraphics,"@jdixvx Thanks for your comment, Jeff. Until today, they'd never publicly said they would absolutely not support him."
784946818077589504,2016-10-09 02:41:19 +0000,nytgraphics,"@jvthomas_93 @JohnKasich Thanks for your comment. Until today, he'd never public said he would not vote for Mr. Trump."
784945621627236352,2016-10-09 02:36:34 +0000,nytgraphics,At least 42 Republicans withdrew their support for Trump since a tape of him making vulgar remarks surfaced… https://t.co/LRC7m7RlC3
784916796163944448,2016-10-09 00:42:01 +0000,nytgraphics,Hurricane Matthew devastated many towns in Haiti. The death toll may be more than 800. https://t.co/GEPk2BUl5k https://t.co/wbSLbQUyZg
784879974838829060,2016-10-08 22:15:43 +0000,nytgraphics,More than 150 Republican leaders don’t support Trump. The video was the breaking point for at least 40… https://t.co/LcjS5RNr0B
784737970683256832,2016-10-08 12:51:26 +0000,nytgraphics,"New additions to the roughly 110 Republican leaders who say they will not vote for Trump
https://t.co/KGWeJV2krY https://t.co/BaLLFqBv3h"
784734391344005120,2016-10-08 12:37:13 +0000,nytgraphics,"RT @nytgraphics: Paul Ryan and Mitch McConnell repeatedly reject Trump's words, but not his candidacy
https://t.co/eQpW6eavVI https://t.co/xVFvgQzUB6"
784654454352187392,2016-10-08 07:19:34 +0000,nytgraphics,Trump's lewd comments on women led two more Republican leaders to say they won't vote for him… https://t.co/SHDdzbEh4M
784651735835021312,2016-10-08 07:08:46 +0000,nytgraphics,"Paul Ryan and Mitch McConnell repeatedly reject Trump's words, but not his candidacy
https://t.co/eQpW6eavVI https://t.co/xVFvgQzUB6"
784380181624549376,2016-10-07 13:09:43 +0000,nytgraphics,Hurricane Matthew hit Florida this morning as a slightly weakened Category 3 storm with winds of about 120 mph:… https://t.co/9yM2R4TLCv
784205003053527041,2016-10-07 01:33:37 +0000,nytgraphics,"Follow the path of Hurricane Matthew as it barrels up the Florida coast.
https://t.co/bZZjCMwLI5 https://t.co/iktsw3V0Xb"
784112911354593286,2016-10-06 19:27:40 +0000,nytgraphics,Why 1 in 4 African-Americans are not allowed to vote in Kentucky: https://t.co/1uDoqKLUGv https://t.co/qSRh46xuqh
