gameIndex,Date,Red,Blue,Win,RRoster,BRoster
9992,2015-12-12,Team Fire,Team Ice,red,MaRin • Score • Faker • PraY • MadLife,Koro1 • Clearlove • Rookie • Uzi • pyl
9991,2015-12-12,Team Fire,Team Ice,blue,Ziv • Karsa • Westdoor • bebe • Olleh,Huni • Amazing • Froggen • Rekkles • kaSing
9990,2015-12-12,Team Fire,Team Ice,red,Dyrus • Meteos • Bjergsen • Doublelift • Aphromoo,Smurf • DimaJke • Kira • LeX • Dimonko
9989,2015-12-11,Team Ice,Team Fire,blue,Smurf • DimaJke • Kira • LeX • Dimonko,MaRin • Score • Faker • PraY • MadLife
9988,2015-12-11,Team Fire,Team Ice,blue,Ziv • Karsa • Westdoor • bebe • Olleh,Koro1 • Clearlove • Rookie • Uzi • pyl
9987,2015-12-11,Team Fire,Team Ice,blue,Dyrus • Meteos • Bjergsen • Doublelift • Aphromoo,Huni • Amazing • Froggen • Rekkles • kaSing
9997,2016-12-10,LPL Allstars,NA LCS Allstars,blue,Mouse • Clearlove • We1less • Uzi • Mata,Impact • ReignOver • Bjergsen • Doublelift • aphromoo
9996,2016-12-10,IWC Allstars,LMS Allstars,blue,QTV • Levi • Optimus • Celebrity • RonOP,Ziv • Karsa • Maple • bebe • Albis
9995,2016-12-10,EU LCS Allstars,LCK Allstars,blue,sOAZ • Jankos • xPeke • Rekkles • mithy,Smeb • Bengi • Faker • PraY • MadLife
9994,2016-12-09,LCK Allstars,LPL Allstars,red,Smeb • Bengi • Faker • PraY • MadLife,Mouse • Clearlove • We1less • Uzi • Mata
9993,2016-12-09,IWC Allstars,EU LCS Allstars,blue,QTV • Levi • Optimus • Celebrity • RonOP,sOAZ • Jankos • xPeke • Rekkles • mithy
9992,2016-12-09,NA LCS Allstars,LMS Allstars,blue,Impact • ReignOver • Bjergsen • Doublelift • aphromoo,Ziv • Karsa • Maple • bebe • Albis
9991,2016-12-08,LMS Allstars,LCK Allstars,blue,Ziv • Karsa • Maple • bebe • Albis,Smeb • Bengi • Faker • PraY • MadLife
9990,2016-12-08,IWC Allstars,LPL Allstars,blue,QTV • Levi • Optimus • Celebrity • RonOP,Mouse • Clearlove • We1less • Uzi • Mata
9989,2016-12-08,NA LCS Allstars,EU LCS Allstars,red,Impact • ReignOver • Bjergsen • Doublelift • aphromoo,sOAZ • Jankos • xPeke • Rekkles • mithy
9997,2016-12-04,Team Japan,Team Southeast Asia,blue,Evi • Tussle • Ceros • Haretti • Dara,QTV • Levi • Optimus • Celebrity • RonOP
9996,2016-12-04,Team Southeast Asia,Team Turkey,red,QTV • Levi • Optimus • Celebrity • RonOP,Elwind • Crystal • Naru • Zeitnot • Dumbledoge
