year,league,round,seriesLink,winner,loser
1994,NBA,Western Conf Semifinals,/playoffs/1994-nba-western-conference-semifinals-suns-vs-rockets.html,HOU,PHO
1994,NBA,Western Conf Semifinals,/playoffs/1994-nba-western-conference-semifinals-nuggets-vs-jazz.html,UTA,DEN
1994,NBA,Eastern Conf Finals,/playoffs/1994-nba-eastern-conference-finals-pacers-vs-knicks.html,NYK,IND
1994,NBA,Western Conf Finals,/playoffs/1994-nba-western-conference-finals-jazz-vs-rockets.html,HOU,UTA
1994,NBA,Finals,/playoffs/1994-nba-finals-knicks-vs-rockets.html,HOU,NYK
1993,NBA,Eastern Conf First Round,/playoffs/1993-nba-eastern-conference-first-round-hornets-vs-celtics.html,CHH,BOS
1993,NBA,Eastern Conf First Round,/playoffs/1993-nba-eastern-conference-first-round-hawks-vs-bulls.html,CHI,ATL
1993,NBA,Eastern Conf First Round,/playoffs/1993-nba-eastern-conference-first-round-nets-vs-cavaliers.html,CLE,NJN
1993,NBA,Eastern Conf First Round,/playoffs/1993-nba-eastern-conference-first-round-pacers-vs-knicks.html,NYK,IND
1993,NBA,Western Conf First Round,/playoffs/1993-nba-western-conference-first-round-clippers-vs-rockets.html,HOU,LAC
1993,NBA,Western Conf First Round,/playoffs/1993-nba-western-conference-first-round-lakers-vs-suns.html,PHO,LAL
1993,NBA,Western Conf First Round,/playoffs/1993-nba-western-conference-first-round-spurs-vs-trail-blazers.html,SAS,POR
1993,NBA,Western Conf First Round,/playoffs/1993-nba-western-conference-first-round-jazz-vs-supersonics.html,SEA,UTA
1993,NBA,Eastern Conf Semifinals,/playoffs/1993-nba-eastern-conference-semifinals-cavaliers-vs-bulls.html,CHI,CLE
1993,NBA,Eastern Conf Semifinals,/playoffs/1993-nba-eastern-conference-semifinals-hornets-vs-knicks.html,NYK,CHH
1993,NBA,Western Conf Semifinals,/playoffs/1993-nba-western-conference-semifinals-spurs-vs-suns.html,PHO,SAS
1993,NBA,Western Conf Semifinals,/playoffs/1993-nba-western-conference-semifinals-rockets-vs-supersonics.html,SEA,HOU
1993,NBA,Eastern Conf Finals,/playoffs/1993-nba-eastern-conference-finals-bulls-vs-knicks.html,CHI,NYK
1993,NBA,Western Conf Finals,/playoffs/1993-nba-western-conference-finals-supersonics-vs-suns.html,PHO,SEA
1993,NBA,Finals,/playoffs/1993-nba-finals-bulls-vs-suns.html,CHI,PHO
1992,NBA,Eastern Conf First Round,/playoffs/1992-nba-eastern-conference-first-round-pacers-vs-celtics.html,BOS,IND
1992,NBA,Eastern Conf First Round,/playoffs/1992-nba-eastern-conference-first-round-heat-vs-bulls.html,CHI,MIA
1992,NBA,Eastern Conf First Round,/playoffs/1992-nba-eastern-conference-first-round-nets-vs-cavaliers.html,CLE,NJN
1992,NBA,Eastern Conf First Round,/playoffs/1992-nba-eastern-conference-first-round-pistons-vs-knicks.html,NYK,DET
1992,NBA,Western Conf First Round,/playoffs/1992-nba-western-conference-first-round-spurs-vs-suns.html,PHO,SAS
1992,NBA,Western Conf First Round,/playoffs/1992-nba-western-conference-first-round-lakers-vs-trail-blazers.html,POR,LAL
1992,NBA,Western Conf First Round,/playoffs/1992-nba-western-conference-first-round-supersonics-vs-warriors.html,SEA,GSW
1992,NBA,Western Conf First Round,/playoffs/1992-nba-western-conference-first-round-clippers-vs-jazz.html,UTA,LAC
1992,NBA,Eastern Conf Semifinals,/playoffs/1992-nba-eastern-conference-semifinals-knicks-vs-bulls.html,CHI,NYK
1992,NBA,Eastern Conf Semifinals,/playoffs/1992-nba-eastern-conference-semifinals-celtics-vs-cavaliers.html,CLE,BOS
1992,NBA,Western Conf Semifinals,/playoffs/1992-nba-western-conference-semifinals-suns-vs-trail-blazers.html,POR,PHO
1992,NBA,Western Conf Semifinals,/playoffs/1992-nba-western-conference-semifinals-supersonics-vs-jazz.html,UTA,SEA
1992,NBA,Eastern Conf Finals,/playoffs/1992-nba-eastern-conference-finals-cavaliers-vs-bulls.html,CHI,CLE
1992,NBA,Western Conf Finals,/playoffs/1992-nba-western-conference-finals-jazz-vs-trail-blazers.html,POR,UTA
1992,NBA,Finals,/playoffs/1992-nba-finals-trail-blazers-vs-bulls.html,CHI,POR
1991,NBA,Eastern Conf First Round,/playoffs/1991-nba-eastern-conference-first-round-pacers-vs-celtics.html,BOS,IND
1991,NBA,Eastern Conf First Round,/playoffs/1991-nba-eastern-conference-first-round-knicks-vs-bulls.html,CHI,NYK
1991,NBA,Eastern Conf First Round,/playoffs/1991-nba-eastern-conference-first-round-hawks-vs-pistons.html,DET,ATL
1991,NBA,Eastern Conf First Round,/playoffs/1991-nba-eastern-conference-first-round-76ers-vs-bucks.html,PHI,MIL
1991,NBA,Western Conf First Round,/playoffs/1991-nba-western-conference-first-round-warriors-vs-spurs.html,GSW,SAS
1991,NBA,Western Conf First Round,/playoffs/1991-nba-western-conference-first-round-rockets-vs-lakers.html,LAL,HOU
1991,NBA,Western Conf First Round,/playoffs/1991-nba-western-conference-first-round-supersonics-vs-trail-blazers.html,POR,SEA
1991,NBA,Western Conf First Round,/playoffs/1991-nba-western-conference-first-round-jazz-vs-suns.html,UTA,PHO
1991,NBA,Eastern Conf Semifinals,/playoffs/1991-nba-eastern-conference-semifinals-76ers-vs-bulls.html,CHI,PHI
1991,NBA,Eastern Conf Semifinals,/playoffs/1991-nba-eastern-conference-semifinals-pistons-vs-celtics.html,DET,BOS
1991,NBA,Western Conf Semifinals,/playoffs/1991-nba-western-conference-semifinals-warriors-vs-lakers.html,LAL,GSW
1991,NBA,Western Conf Semifinals,/playoffs/1991-nba-western-conference-semifinals-jazz-vs-trail-blazers.html,POR,UTA
1991,NBA,Eastern Conf Finals,/playoffs/1991-nba-eastern-conference-finals-pistons-vs-bulls.html,CHI,DET
1991,NBA,Western Conf Finals,/playoffs/1991-nba-western-conference-finals-lakers-vs-trail-blazers.html,LAL,POR
1991,NBA,Finals,/playoffs/1991-nba-finals-lakers-vs-bulls.html,CHI,LAL
1990,NBA,Eastern Conf First Round,/playoffs/1990-nba-eastern-conference-first-round-bucks-vs-bulls.html,CHI,MIL
1990,NBA,Eastern Conf First Round,/playoffs/1990-nba-eastern-conference-first-round-pacers-vs-pistons.html,DET,IND
1990,NBA,Eastern Conf First Round,/playoffs/1990-nba-eastern-conference-first-round-knicks-vs-celtics.html,NYK,BOS
1990,NBA,Eastern Conf First Round,/playoffs/1990-nba-eastern-conference-first-round-cavaliers-vs-76ers.html,PHI,CLE
1990,NBA,Western Conf First Round,/playoffs/1990-nba-western-conference-first-round-rockets-vs-lakers.html,LAL,HOU
1990,NBA,Western Conf First Round,/playoffs/1990-nba-western-conference-first-round-suns-vs-jazz.html,PHO,UTA
1990,NBA,Western Conf First Round,/playoffs/1990-nba-western-conference-first-round-mavericks-vs-trail-blazers.html,POR,DAL
1990,NBA,Western Conf First Round,/playoffs/1990-nba-western-conference-first-round-nuggets-vs-spurs.html,SAS,DEN
1990,NBA,Eastern Conf Semifinals,/playoffs/1990-nba-eastern-conference-semifinals-76ers-vs-bulls.html,CHI,PHI
1990,NBA,Eastern Conf Semifinals,/playoffs/1990-nba-eastern-conference-semifinals-knicks-vs-pistons.html,DET,NYK
1990,NBA,Western Conf Semifinals,/playoffs/1990-nba-western-conference-semifinals-suns-vs-lakers.html,PHO,LAL
1990,NBA,Western Conf Semifinals,/playoffs/1990-nba-western-conference-semifinals-spurs-vs-trail-blazers.html,POR,SAS
1990,NBA,Eastern Conf Finals,/playoffs/1990-nba-eastern-conference-finals-bulls-vs-pistons.html,DET,CHI
1990,NBA,Western Conf Finals,/playoffs/1990-nba-western-conference-finals-suns-vs-trail-blazers.html,POR,PHO
1990,NBA,Finals,/playoffs/1990-nba-finals-trail-blazers-vs-pistons.html,DET,POR
1989,NBA,Eastern Conf First Round,/playoffs/1989-nba-eastern-conference-first-round-bulls-vs-cavaliers.html,CHI,CLE
1989,NBA,Eastern Conf First Round,/playoffs/1989-nba-eastern-conference-first-round-celtics-vs-pistons.html,DET,BOS
1989,NBA,Eastern Conf First Round,/playoffs/1989-nba-eastern-conference-first-round-bucks-vs-hawks.html,MIL,ATL
1989,NBA,Eastern Conf First Round,/playoffs/1989-nba-eastern-conference-first-round-76ers-vs-knicks.html,NYK,PHI
1989,NBA,Western Conf First Round,/playoffs/1989-nba-western-conference-first-round-warriors-vs-jazz.html,GSW,UTA
1989,NBA,Western Conf First Round,/playoffs/1989-nba-western-conference-first-round-trail-blazers-vs-lakers.html,LAL,POR
1989,NBA,Western Conf First Round,/playoffs/1989-nba-western-conference-first-round-nuggets-vs-suns.html,PHO,DEN
1989,NBA,Western Conf First Round,/playoffs/1989-nba-western-conference-first-round-rockets-vs-supersonics.html,SEA,HOU
1989,NBA,Eastern Conf Semifinals,/playoffs/1989-nba-eastern-conference-semifinals-bulls-vs-knicks.html,CHI,NYK
1989,NBA,Eastern Conf Semifinals,/playoffs/1989-nba-eastern-conference-semifinals-bucks-vs-pistons.html,DET,MIL
1989,NBA,Western Conf Semifinals,/playoffs/1989-nba-western-conference-semifinals-supersonics-vs-lakers.html,LAL,SEA
1989,NBA,Western Conf Semifinals,/playoffs/1989-nba-western-conference-semifinals-warriors-vs-suns.html,PHO,GSW
1989,NBA,Eastern Conf Finals,/playoffs/1989-nba-eastern-conference-finals-bulls-vs-pistons.html,DET,CHI
1989,NBA,Western Conf Finals,/playoffs/1989-nba-western-conference-finals-suns-vs-lakers.html,LAL,PHO
1989,NBA,Finals,/playoffs/1989-nba-finals-lakers-vs-pistons.html,DET,LAL
1988,NBA,Eastern Conf First Round,/playoffs/1988-nba-eastern-conference-first-round-bucks-vs-hawks.html,ATL,MIL
1988,NBA,Eastern Conf First Round,/playoffs/1988-nba-eastern-conference-first-round-knicks-vs-celtics.html,BOS,NYK
1988,NBA,Eastern Conf First Round,/playoffs/1988-nba-eastern-conference-first-round-cavaliers-vs-bulls.html,CHI,CLE
1988,NBA,Eastern Conf First Round,/playoffs/1988-nba-eastern-conference-first-round-bullets-vs-pistons.html,DET,WSB
1988,NBA,Western Conf First Round,/playoffs/1988-nba-western-conference-first-round-rockets-vs-mavericks.html,DAL,HOU
1988,NBA,Western Conf First Round,/playoffs/1988-nba-western-conference-first-round-supersonics-vs-nuggets.html,DEN,SEA
1988,NBA,Western Conf First Round,/playoffs/1988-nba-western-conference-first-round-spurs-vs-lakers.html,LAL,SAS
1988,NBA,Western Conf First Round,/playoffs/1988-nba-western-conference-first-round-jazz-vs-trail-blazers.html,UTA,POR
1988,NBA,Eastern Conf Semifinals,/playoffs/1988-nba-eastern-conference-semifinals-hawks-vs-celtics.html,BOS,ATL
1988,NBA,Eastern Conf Semifinals,/playoffs/1988-nba-eastern-conference-semifinals-bulls-vs-pistons.html,DET,CHI
1988,NBA,Western Conf Semifinals,/playoffs/1988-nba-western-conference-semifinals-mavericks-vs-nuggets.html,DAL,DEN
1988,NBA,Western Conf Semifinals,/playoffs/1988-nba-western-conference-semifinals-jazz-vs-lakers.html,LAL,UTA
1988,NBA,Eastern Conf Finals,/playoffs/1988-nba-eastern-conference-finals-pistons-vs-celtics.html,DET,BOS
1988,NBA,Western Conf Finals,/playoffs/1988-nba-western-conference-finals-mavericks-vs-lakers.html,LAL,DAL
1988,NBA,Finals,/playoffs/1988-nba-finals-pistons-vs-lakers.html,LAL,DET
1987,NBA,Eastern Conf First Round,/playoffs/1987-nba-eastern-conference-first-round-pacers-vs-hawks.html,ATL,IND
1987,NBA,Eastern Conf First Round,/playoffs/1987-nba-eastern-conference-first-round-bulls-vs-celtics.html,BOS,CHI
1987,NBA,Eastern Conf First Round,/playoffs/1987-nba-eastern-conference-first-round-bullets-vs-pistons.html,DET,WSB
1987,NBA,Eastern Conf First Round,/playoffs/1987-nba-eastern-conference-first-round-76ers-vs-bucks.html,MIL,PHI
1987,NBA,Western Conf First Round,/playoffs/1987-nba-western-conference-first-round-warriors-vs-jazz.html,GSW,UTA
1987,NBA,Western Conf First Round,/playoffs/1987-nba-western-conference-first-round-rockets-vs-trail-blazers.html,HOU,POR
1987,NBA,Western Conf First Round,/playoffs/1987-nba-western-conference-first-round-nuggets-vs-lakers.html,LAL,DEN
1987,NBA,Western Conf First Round,/playoffs/1987-nba-western-conference-first-round-supersonics-vs-mavericks.html,SEA,DAL
1987,NBA,Eastern Conf Semifinals,/playoffs/1987-nba-eastern-conference-semifinals-bucks-vs-celtics.html,BOS,MIL
1987,NBA,Eastern Conf Semifinals,/playoffs/1987-nba-eastern-conference-semifinals-pistons-vs-hawks.html,DET,ATL
1987,NBA,Western Conf Semifinals,/playoffs/1987-nba-western-conference-semifinals-warriors-vs-lakers.html,LAL,GSW
1987,NBA,Western Conf Semifinals,/playoffs/1987-nba-western-conference-semifinals-supersonics-vs-rockets.html,SEA,HOU
1987,NBA,Eastern Conf Finals,/playoffs/1987-nba-eastern-conference-finals-pistons-vs-celtics.html,BOS,DET
1987,NBA,Western Conf Finals,/playoffs/1987-nba-western-conference-finals-supersonics-vs-lakers.html,LAL,SEA
1987,NBA,Finals,/playoffs/1987-nba-finals-celtics-vs-lakers.html,LAL,BOS
1986,NBA,Eastern Conf First Round,/playoffs/1986-nba-eastern-conference-first-round-pistons-vs-hawks.html,ATL,DET
1986,NBA,Eastern Conf First Round,/playoffs/1986-nba-eastern-conference-first-round-bulls-vs-celtics.html,BOS,CHI
1986,NBA,Eastern Conf First Round,/playoffs/1986-nba-eastern-conference-first-round-nets-vs-bucks.html,MIL,NJN
1986,NBA,Eastern Conf First Round,/playoffs/1986-nba-eastern-conference-first-round-bullets-vs-76ers.html,PHI,WSB
1986,NBA,Western Conf First Round,/playoffs/1986-nba-western-conference-first-round-jazz-vs-mavericks.html,DAL,UTA
1986,NBA,Western Conf First Round,/playoffs/1986-nba-western-conference-first-round-trail-blazers-vs-nuggets.html,DEN,POR
1986,NBA,Western Conf First Round,/playoffs/1986-nba-western-conference-first-round-kings-vs-rockets.html,HOU,SAC
1986,NBA,Western Conf First Round,/playoffs/1986-nba-western-conference-first-round-spurs-vs-lakers.html,LAL,SAS
1986,NBA,Eastern Conf Semifinals,/playoffs/1986-nba-eastern-conference-semifinals-hawks-vs-celtics.html,BOS,ATL
1986,NBA,Eastern Conf Semifinals,/playoffs/1986-nba-eastern-conference-semifinals-76ers-vs-bucks.html,MIL,PHI
1986,NBA,Western Conf Semifinals,/playoffs/1986-nba-western-conference-semifinals-nuggets-vs-rockets.html,HOU,DEN
1986,NBA,Western Conf Semifinals,/playoffs/1986-nba-western-conference-semifinals-mavericks-vs-lakers.html,LAL,DAL
1986,NBA,Eastern Conf Finals,/playoffs/1986-nba-eastern-conference-finals-bucks-vs-celtics.html,BOS,MIL
1986,NBA,Western Conf Finals,/playoffs/1986-nba-western-conference-finals-rockets-vs-lakers.html,HOU,LAL
1986,NBA,Finals,/playoffs/1986-nba-finals-rockets-vs-celtics.html,BOS,HOU
1985,NBA,Eastern Conf First Round,/playoffs/1985-nba-eastern-conference-first-round-cavaliers-vs-celtics.html,BOS,CLE
1985,NBA,Eastern Conf First Round,/playoffs/1985-nba-eastern-conference-first-round-nets-vs-pistons.html,DET,NJN
1985,NBA,Eastern Conf First Round,/playoffs/1985-nba-eastern-conference-first-round-bulls-vs-bucks.html,MIL,CHI
1985,NBA,Eastern Conf First Round,/playoffs/1985-nba-eastern-conference-first-round-bullets-vs-76ers.html,PHI,WSB
1985,NBA,Western Conf First Round,/playoffs/1985-nba-western-conference-first-round-spurs-vs-nuggets.html,DEN,SAS
1985,NBA,Western Conf First Round,/playoffs/1985-nba-western-conference-first-round-suns-vs-lakers.html,LAL,PHO
1985,NBA,Western Conf First Round,/playoffs/1985-nba-western-conference-first-round-trail-blazers-vs-mavericks.html,POR,DAL
1985,NBA,Western Conf First Round,/playoffs/1985-nba-western-conference-first-round-jazz-vs-rockets.html,UTA,HOU
1985,NBA,Eastern Conf Semifinals,/playoffs/1985-nba-eastern-conference-semifinals-pistons-vs-celtics.html,BOS,DET
1985,NBA,Eastern Conf Semifinals,/playoffs/1985-nba-eastern-conference-semifinals-76ers-vs-bucks.html,PHI,MIL
1985,NBA,Western Conf Semifinals,/playoffs/1985-nba-western-conference-semifinals-jazz-vs-nuggets.html,DEN,UTA
1985,NBA,Western Conf Semifinals,/playoffs/1985-nba-western-conference-semifinals-trail-blazers-vs-lakers.html,LAL,POR
1985,NBA,Eastern Conf Finals,/playoffs/1985-nba-eastern-conference-finals-76ers-vs-celtics.html,BOS,PHI
1985,NBA,Western Conf Finals,/playoffs/1985-nba-western-conference-finals-nuggets-vs-lakers.html,LAL,DEN
1985,NBA,Finals,/playoffs/1985-nba-finals-lakers-vs-celtics.html,LAL,BOS
1984,NBA,Eastern Conf First Round,/playoffs/1984-nba-eastern-conference-first-round-bullets-vs-celtics.html,BOS,WSB
1984,NBA,Eastern Conf First Round,/playoffs/1984-nba-eastern-conference-first-round-hawks-vs-bucks.html,MIL,ATL
1984,NBA,Eastern Conf First Round,/playoffs/1984-nba-eastern-conference-first-round-nets-vs-76ers.html,NJN,PHI
1984,NBA,Eastern Conf First Round,/playoffs/1984-nba-eastern-conference-first-round-knicks-vs-pistons.html,NYK,DET
