series,boxLink
1957-nba-western-division-tiebreaker-pistons-vs-hawks.html,195703140STL.html
1958-nba-eastern-division-finals-warriors-vs-celtics.html,195803190BOS.html
1958-nba-eastern-division-finals-warriors-vs-celtics.html,195803220PHW.html
1958-nba-eastern-division-finals-warriors-vs-celtics.html,195803230BOS.html
1958-nba-eastern-division-finals-warriors-vs-celtics.html,195803260PHW.html
1958-nba-eastern-division-finals-warriors-vs-celtics.html,195803270BOS.html
1958-nba-eastern-division-semifinals-warriors-vs-nationals.html,195803150SYR.html
1958-nba-eastern-division-semifinals-warriors-vs-nationals.html,195803160PHW.html
1958-nba-eastern-division-semifinals-warriors-vs-nationals.html,195803180SYR.html
1958-nba-finals-hawks-vs-celtics.html,195803290BOS.html
1958-nba-finals-hawks-vs-celtics.html,195803300BOS.html
1958-nba-finals-hawks-vs-celtics.html,195804020STL.html
1958-nba-finals-hawks-vs-celtics.html,195804050STL.html
1958-nba-finals-hawks-vs-celtics.html,195804090BOS.html
1958-nba-finals-hawks-vs-celtics.html,195804120STL.html
1958-nba-western-division-finals-pistons-vs-hawks.html,195803190STL.html
1958-nba-western-division-finals-pistons-vs-hawks.html,195803220DET.html
1958-nba-western-division-finals-pistons-vs-hawks.html,195803230STL.html
1958-nba-western-division-finals-pistons-vs-hawks.html,195803250DET.html
1958-nba-western-division-finals-pistons-vs-hawks.html,195803270STL.html
1958-nba-western-division-semifinals-royals-vs-pistons.html,195803150DET.html
1958-nba-western-division-semifinals-royals-vs-pistons.html,195803160CIN.html
1959-nba-eastern-division-finals-nationals-vs-celtics.html,195903180BOS.html
1959-nba-eastern-division-finals-nationals-vs-celtics.html,195903210SYR.html
1959-nba-eastern-division-finals-nationals-vs-celtics.html,195903220BOS.html
1959-nba-eastern-division-finals-nationals-vs-celtics.html,195903250SYR.html
1959-nba-eastern-division-finals-nationals-vs-celtics.html,195903280BOS.html
1959-nba-eastern-division-finals-nationals-vs-celtics.html,195903290SYR.html
1959-nba-eastern-division-finals-nationals-vs-celtics.html,195904010BOS.html
1959-nba-eastern-division-semifinals-nationals-vs-knicks.html,195903130NYK.html
1959-nba-eastern-division-semifinals-nationals-vs-knicks.html,195903150SYR.html
1959-nba-finals-lakers-vs-celtics.html,195904040BOS.html
1959-nba-finals-lakers-vs-celtics.html,195904050BOS.html
1959-nba-finals-lakers-vs-celtics.html,195904070MNL.html
1959-nba-finals-lakers-vs-celtics.html,195904090MNL.html
1959-nba-western-division-finals-lakers-vs-hawks.html,195903210STL.html
1959-nba-western-division-finals-lakers-vs-hawks.html,195903220MNL.html
1959-nba-western-division-finals-lakers-vs-hawks.html,195903240STL.html
1959-nba-western-division-finals-lakers-vs-hawks.html,195903260MNL.html
1959-nba-western-division-finals-lakers-vs-hawks.html,195903280STL.html
1959-nba-western-division-finals-lakers-vs-hawks.html,195903290MNL.html
1959-nba-western-division-semifinals-pistons-vs-lakers.html,195903140MNL.html
1959-nba-western-division-semifinals-pistons-vs-lakers.html,195903150DET.html
1959-nba-western-division-semifinals-pistons-vs-lakers.html,195903180MNL.html
1960-nba-eastern-division-finals-warriors-vs-celtics.html,196003160BOS.html
1960-nba-eastern-division-finals-warriors-vs-celtics.html,196003180PHW.html
1960-nba-eastern-division-finals-warriors-vs-celtics.html,196003190BOS.html
1960-nba-eastern-division-finals-warriors-vs-celtics.html,196003200PHW.html
1960-nba-eastern-division-finals-warriors-vs-celtics.html,196003220BOS.html
1960-nba-eastern-division-finals-warriors-vs-celtics.html,196003240PHW.html
1960-nba-eastern-division-semifinals-nationals-vs-warriors.html,196003110PHW.html
1960-nba-eastern-division-semifinals-nationals-vs-warriors.html,196003130SYR.html
1960-nba-eastern-division-semifinals-nationals-vs-warriors.html,196003140PHW.html
1960-nba-finals-hawks-vs-celtics.html,196003270BOS.html
1960-nba-finals-hawks-vs-celtics.html,196003290BOS.html
1960-nba-finals-hawks-vs-celtics.html,196004020STL.html
1960-nba-finals-hawks-vs-celtics.html,196004030STL.html
1960-nba-finals-hawks-vs-celtics.html,196004050BOS.html
1960-nba-finals-hawks-vs-celtics.html,196004070STL.html
1960-nba-finals-hawks-vs-celtics.html,196004090BOS.html
1960-nba-western-division-finals-lakers-vs-hawks.html,196003160STL.html
1960-nba-western-division-finals-lakers-vs-hawks.html,196003170STL.html
1960-nba-western-division-finals-lakers-vs-hawks.html,196003190MNL.html
1960-nba-western-division-finals-lakers-vs-hawks.html,196003200MNL.html
1960-nba-western-division-finals-lakers-vs-hawks.html,196003220STL.html
1960-nba-western-division-finals-lakers-vs-hawks.html,196003240MNL.html
1960-nba-western-division-finals-lakers-vs-hawks.html,196003260STL.html
1960-nba-western-division-semifinals-lakers-vs-pistons.html,196003120DET.html
1960-nba-western-division-semifinals-lakers-vs-pistons.html,196003130MNL.html
1961-nba-eastern-division-finals-nationals-vs-celtics.html,196103190BOS.html
1961-nba-eastern-division-finals-nationals-vs-celtics.html,196103210SYR.html
1961-nba-eastern-division-finals-nationals-vs-celtics.html,196103230BOS.html
1961-nba-eastern-division-finals-nationals-vs-celtics.html,196103250SYR.html
1961-nba-eastern-division-finals-nationals-vs-celtics.html,196103260BOS.html
1961-nba-eastern-division-semifinals-nationals-vs-warriors.html,196103140PHW.html
1961-nba-eastern-division-semifinals-nationals-vs-warriors.html,196103160SYR.html
1961-nba-eastern-division-semifinals-nationals-vs-warriors.html,196103180PHW.html
1961-nba-finals-hawks-vs-celtics.html,196104020BOS.html
1961-nba-finals-hawks-vs-celtics.html,196104050BOS.html
1961-nba-finals-hawks-vs-celtics.html,196104080STL.html
1961-nba-finals-hawks-vs-celtics.html,196104090STL.html
1961-nba-finals-hawks-vs-celtics.html,196104110BOS.html
1961-nba-western-division-finals-lakers-vs-hawks.html,196103210STL.html
