year,fullName,slug,age,team,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1997,Karl Malone,,33,UTA,82,36.6,27.4,9.9,4.5,1.4,0.6,0.55,0,0.755,16.7,0.268
1996,Michael Jordan,,32,CHI,82,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,20.4,0.317
1995,David Robinson,,29,SAS,81,38,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,0.273
1994,Hakeem Olajuwon,,31,HOU,80,41,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,0.21
1993,Charles Barkley,,29,PHO,76,37.6,25.6,12.2,5.1,1.6,1,0.52,0.305,0.765,14.4,0.242
1992,Michael Jordan,,28,CHI,80,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,0.274
1991,Michael Jordan,,27,CHI,82,37,31.5,6,5.5,2.7,1,0.539,0.312,0.851,20.3,0.321
1990,Magic Johnson,,30,LAL,79,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5,0.27
1989,Magic Johnson,,29,LAL,77,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,0.267
1988,Michael Jordan,,24,CHI,82,40.4,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308
1987,Magic Johnson,,27,LAL,80,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,0.263
1986,Larry Bird,,29,BOS,82,38,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,15.8,0.244
1985,Larry Bird,,28,BOS,80,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.427,0.882,15.7,0.238
1984,Larry Bird,,27,BOS,79,38.3,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,13.6,0.215
1983,Moses Malone,,27,PHI,78,37.5,24.5,15.3,1.3,1.1,2,0.501,0,0.761,15.1,0.248
1982,Moses Malone,,26,HOU,81,42,31.1,14.7,1.8,0.9,1.5,0.519,0,0.762,15.4,0.218
1981,Julius Erving,,30,PHI,82,35,24.6,8,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231
1980,Kareem Abdul-Jabbar,,32,LAL,82,38.3,24.8,10.8,4.5,1,3.4,0.604,0,0.765,14.8,0.227
1979,Moses Malone,,23,HOU,82,41.3,24.8,17.6,1.8,1,1.5,0.54,,0.739,14.1,0.2
1978,Bill Walton,,25,POR,58,33.3,18.9,13.2,5,1,2.5,0.522,,0.72,8.4,0.209
1977,Kareem Abdul-Jabbar,,29,LAL,82,36.8,26.2,13.3,3.9,1.2,3.2,0.579,,0.701,17.8,0.283
1976,Kareem Abdul-Jabbar,,28,LAL,82,41.2,27.7,16.9,5,1.5,4.1,0.529,,0.703,17,0.242
1975,Bob McAdoo,,23,BUF,82,43.2,34.5,14.1,2.2,1.1,2.1,0.512,,0.805,17.8,0.242
1974,Kareem Abdul-Jabbar,,26,MIL,81,43.8,27,14.5,4.8,1.4,3.5,0.539,,0.702,18.4,0.25
1973,Dave Cowens,,24,BOS,82,41.8,20.5,16.2,4.1,,,0.452,,0.779,12,0.168
1972,Kareem Abdul-Jabbar,,24,MIL,81,44.2,34.8,16.6,4.6,,,0.574,,0.689,25.4,0.34
1971,Kareem Abdul-Jabbar,,23,MIL,82,40.1,31.7,16,3.3,,,0.577,,0.69,22.3,0.326
1970,Willis Reed,,27,NYK,81,38.1,21.7,13.9,2,,,0.507,,0.756,14.6,0.227
1969,Wes Unseld,,22,BAL,82,36.2,13.8,18.2,2.6,,,0.476,,0.605,10.8,0.175
1968,Wilt Chamberlain,,31,PHI,82,46.8,24.3,23.8,8.6,,,0.595,,0.38,20.4,0.255
1967,Wilt Chamberlain,,30,PHI,81,45.5,24.1,24.2,7.8,,,0.683,,0.441,21.9,0.285
1966,Wilt Chamberlain,,29,PHI,79,47.3,33.5,24.6,5.2,,,0.54,,0.513,21.4,0.275
1965,Bill Russell,,30,BOS,78,44.4,14.1,24.1,5.3,,,0.438,,0.573,16.9,0.234
1964,Oscar Robertson,,25,CIN,79,45.1,31.4,9.9,11,,,0.483,,0.853,20.6,0.278
1963,Bill Russell,,28,BOS,78,44.9,16.8,23.6,4.5,,,0.432,,0.555,13.5,0.185
1962,Bill Russell,,27,BOS,76,45.2,18.9,23.6,4.5,,,0.457,,0.595,15.5,0.217
1961,Bill Russell,,26,BOS,78,44.3,16.9,23.9,3.4,,,0.426,,0.55,13,0.181
1960,Wilt Chamberlain,,23,PHW,72,46.4,37.6,27,2.3,,,0.461,,0.582,17,0.245
1959,Bob Pettit,,26,STL,72,39.9,29.2,16.4,3.1,,,0.438,,0.759,14.8,0.246
1958,Bill Russell,,23,BOS,69,38.3,16.6,22.7,2.9,,,0.442,,0.519,11.3,0.206
1957,Bob Cousy,,28,BOS,64,36.9,20.6,4.8,7.5,,,0.378,,0.821,8.8,0.178
1956,Bob Pettit,,23,STL,72,38.8,25.7,16.2,2.6,,,0.429,,0.736,13.8,0.236
